0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:06 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:06 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:06 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:06 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:18 +0900] "GET /personalProject/amado/pages/index.jsp HTTP/1.1" 200 13263
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:18 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23602
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:18 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:18 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:18 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:18 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:18 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:18 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:18 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:19 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:19 +0900] "GET /personalProject/amado/pages/product-details.jsp HTTP/1.1" 200 14892
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:19 +0900] "GET /personalProject/amado/pages/cart.jsp HTTP/1.1" 200 14386
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:19 +0900] "GET /personalProject/amado/img/bg-img/cart2.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:19 +0900] "GET /personalProject/amado/img/bg-img/pro-big-1.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:19 +0900] "GET /personalProject/amado/img/bg-img/cart3.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:20 +0900] "GET /personalProject/amado/pages/checkout.jsp HTTP/1.1" 200 14170
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:20 +0900] "GET /personalProject/amado/pages/img/core-img/paypal.png HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23602
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:35 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:55 +0900] "GET /personalProject/amado/pages/b_list.jsp?boardid=2 HTTP/1.1" 200 13488
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:55 +0900] "GET /personalProject/images/level.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:55 +0900] "GET /personalProject/images/re.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:56 +0900] "GET /personalProject/amado/pages/b_list.jsp?pageNum=2 HTTP/1.1" 200 13450
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:56 +0900] "GET /personalProject/images/hot.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:57 +0900] "GET /personalProject/amado/pages/b_list.jsp?pageNum=1 HTTP/1.1" 200 13488
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:57 +0900] "GET /personalProject/amado/pages/b_list.jsp?pageNum=2 HTTP/1.1" 200 13450
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:38:59 +0900] "GET /personalProject/amado/pages/b_list.jsp?boardid=1 HTTP/1.1" 200 13618
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:00 +0900] "GET /personalProject/amado/pages/b_list.jsp?pageNum=2 HTTP/1.1" 200 13696
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:00 +0900] "GET /personalProject/amado/pages/b_list.jsp?pageNum=3 HTTP/1.1" 200 12575
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:01 +0900] "GET /personalProject/amado/pages/b_list.jsp?pageNum=1 HTTP/1.1" 200 13618
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:02 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23602
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:02 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:02 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:02 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:02 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:02 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:02 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:02 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:39:02 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:40:34 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23617
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:40:34 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:40:34 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:40:34 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:40:34 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
