127.0.0.1 - - [10/Jul/2019:08:54:40 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 24093
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/css/core-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/js/active.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add10-2.jpg HTTP/1.1" 200 82570
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add10-1.jpg HTTP/1.1" 200 17587
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add9-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add9-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add8-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add8-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add7-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add7-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add6-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add6-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add5-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:44 +0900] "GET /personalProject/amado/img/product-img/add5-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:54:45 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:56:13 +0900] "GET /personalProject/amado/pages/shop.jsp?pageNum=2 HTTP/1.1" 200 21292
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:56:13 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:56:13 +0900] "GET /personalProject/amado/img/product-img/add3-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:56:13 +0900] "GET /personalProject/amado/img/product-img/add4-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:56:13 +0900] "GET /personalProject/amado/img/product-img/add2-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:56:13 +0900] "GET /personalProject/amado/img/product-img/add3-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:56:13 +0900] "GET /personalProject/amado/img/product-img/add4-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:56:13 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [10/Jul/2019:08:56:13 +0900] "GET /personalProject/amado/img/product-img/add1-2.jpg HTTP/1.1" 304 -
